Vertex id=0 8(1) [0-8], 82(3) [0-33-26-82], 1(4) [0-8-92-67-1], 27(5) [0-8-7-54-48-27], 44(5) [0-33-26-12-17-44]
Vertex id=90 60(5) [90-98-29-46-66-60], 8(6) [90-57-24-83-39-0-8], 27(6) [90-98-29-46-59-13-27], 73(6) [90-98-29-46-66-84-73], 77(6) [90-81-62-50-14-93-77]
Vertex id=91 86(2) [91-4-86], 1(3) [91-20-67-1], 8(3) [91-20-7-8], 27(4) [91-42-59-13-27], 73(4) [91-42-19-69-73]
Vertex id=92 8(1) [92-8], 1(2) [92-67-1], 73(4) [92-47-9-28-73], 27(5) [92-8-7-54-48-27], 44(5) [92-67-1-22-25-44]
Vertex id=93 77(1) [93-77], 44(2) [93-77-44], 82(3) [93-77-75-82], 27(4) [93-16-72-48-27], 1(5) [93-16-10-41-71-1]
Vertex id=94 1(3) [94-32-71-1], 8(4) [94-89-39-0-8], 44(5) [94-32-71-41-17-44], 73(5) [94-74-21-15-28-73], 77(5) [94-89-96-14-93-77]
Vertex id=95 77(4) [95-50-14-93-77], 86(4) [95-40-78-88-86], 27(5) [95-40-68-3-37-27], 44(5) [95-50-14-93-77-44], 73(5) [95-5-49-15-28-73]
Vertex id=96 77(3) [96-14-93-77], 8(4) [96-89-39-0-8], 44(4) [96-14-93-77-44], 60(4) [96-29-46-66-60], 1(5) [96-89-94-32-71-1]
Vertex id=97 8(4) [97-83-39-0-8], 77(5) [97-62-50-14-93-77], 44(6) [97-62-50-14-93-77-44], 82(6) [97-83-39-0-33-26-82], 1(7) [97-83-39-89-94-32-71-1]
Vertex id=98 60(4) [98-29-46-66-60], 27(5) [98-29-46-59-13-27], 73(5) [98-29-46-66-84-73], 77(5) [98-29-96-14-93-77], 82(5) [98-65-63-76-75-82]
Vertex id=99 44(3) [99-12-17-44], 73(3) [99-9-28-73], 82(3) [99-12-26-82], 8(4) [99-9-47-92-8], 77(4) [99-12-17-44-77]
